package_id,user_id,start_date,end_date
71,17784,2023-07-20,2024-07-20
26,4253,2021-11-20,2022-11-20
81,5157,2023-05-18,2024-05-18
81,16505,2023-07-20,2024-01-20
71,17221,2023-05-25,2023-11-25
71,17092,2023-05-25,2023-06-01
71,17791,2023-07-21,2024-01-21
41,10720,2022-02-22,2022-04-10
71,8995,2024-04-01,2024-10-01
71,14892,2023-04-18,2025-04-19
71,9843,2024-04-29,2024-10-29
71,9191,2023-05-17,2025-05-17
29,15543,2024-05-31,2024-12-01
71,9003,2024-07-26,2025-07-26
71,12503,2024-08-11,2025-02-11
29,15667,2024-10-02,2025-04-02
81,17790,2024-10-05,2025-04-05
24,13505,2024-10-17,2025-04-17
24,13453,2024-10-16,2026-10-16
29,13017,2023-05-21,2025-05-21
71,370,2023-05-21,2025-11-21
71,16958,2024-05-22,2025-05-22
71,9161,2024-11-26,2025-11-26
71,16720,2024-11-27,2025-05-27
71,15334,2023-05-24,2024-07-21
71,11971,2025-01-07,2025-07-07
28,16790,2025-01-21,2025-07-21
71,10427,2025-02-04,2025-08-04
42,9632,2025-02-10,2025-12-31
71,9881,2025-02-28,2025-08-28
71,11005,2023-12-15,2024-06-15
41,10605,2022-02-22,2022-04-10
41,10618,2022-02-22,2022-04-10
71,9661,2023-05-21,2025-05-21
81,3127,2023-07-21,2024-07-21
71,12604,2023-05-02,2023-11-02
41,17793,2023-07-21,2023-08-20
71,5596,2023-05-24,2023-11-24
71,16915,2023-05-07,2024-05-07
81,9422,2023-03-04,2024-04-12
71,17794,2023-07-21,2024-01-21
24,17313,2023-05-25,2026-05-25
71,17795,2023-07-21,2024-01-21
71,8006,2023-07-22,2024-01-22
24,17321,2023-05-26,2024-05-26
71,17343,2023-05-28,2024-05-28
100,11094,2025-01-13,2025-07-13
100,21952,2025-01-20,2025-07-20
46,9614,2025-02-10,2025-12-31
81,10095,2023-05-06,2023-11-06
41,17786,2023-07-20,2023-08-19
71,13864,2024-10-05,2025-04-05
41,17228,2023-05-18,2023-06-17
81,15070,2022-02-04,2024-02-02
41,17792,2023-07-21,2023-08-20
71,5746,2023-07-21,2024-01-21
71,16660,2023-07-22,2024-07-22
71,6236,2023-05-09,2023-11-09
71,5012,2023-05-05,2023-10-05
105,22325,2024-08-28,2024-09-27
42,9993,2025-02-10,2025-12-31
42,9981,2025-02-10,2025-12-31
24,17297,2023-05-24,2023-11-24
71,3169,2023-05-17,2025-05-17
71,6450,2023-05-25,2024-05-25
24,17151,2023-05-26,2023-11-26
81,16993,2023-05-26,2023-11-26
42,9987,2025-02-10,2025-12-31
42,8208,2025-02-10,2025-12-31
71,17314,2023-05-26,2024-11-26
106,22326,2024-08-29,2024-09-28
81,11984,2023-05-26,2024-05-26
41,9983,2022-02-22,2022-04-10
41,9990,2022-02-22,2022-04-10
41,10606,2022-02-22,2022-04-10
41,10677,2022-02-22,2022-04-10
41,10715,2022-02-22,2022-04-10
71,14015,2024-08-29,2025-08-29
24,15150,2023-05-18,2024-11-18
71,17286,2023-05-29,2023-11-29
71,17310,2024-10-10,2025-10-10
71,4455,2025-02-10,2025-08-10
69,21976,2024-08-28,2025-08-28
102,14202,2024-11-15,2025-05-15
100,21911,2025-02-26,2025-08-26
29,9606,2024-05-27,2025-05-27
71,13529,2024-05-20,2025-05-20
51,21912,2024-08-30,2025-09-02
71,5225,2024-05-30,2025-01-30
71,8212,2024-06-03,2025-08-03
71,9757,2024-06-13,2024-12-13
71,1555,2024-10-29,2024-10-29
99,20070,2024-07-03,2024-08-03
71,11895,2024-12-04,2025-06-04
105,22288,2024-08-27,2024-09-26
71,5017,2024-08-27,2025-08-27
72,22294,2024-08-27,2024-09-26
108,22289,2024-12-12,2024-12-18
29,17287,2023-12-21,2024-12-21
41,22295,2024-08-27,2024-09-26
71,21807,2024-08-27,2025-02-27
71,21695,2024-08-27,2025-02-27
72,22296,2024-08-27,2024-09-26
72,22297,2024-08-27,2024-09-26
72,22298,2024-08-27,2024-09-26
106,22299,2024-08-28,2024-09-27
108,22293,2024-12-12,2024-12-18
41,22302,2024-08-28,2024-09-27
105,22305,2024-08-28,2024-09-27
106,22306,2024-08-28,2024-09-27
71,16748,2024-09-09,2025-03-09
105,22307,2024-08-28,2024-09-27
71,15844,2023-03-06,2024-09-06
71,14094,2024-03-12,2025-03-12
108,22300,2024-12-12,2024-12-18
108,22301,2024-12-12,2024-12-18
24,18859,2024-08-28,2025-02-28
105,22308,2024-08-28,2024-09-27
108,22324,2024-12-12,2024-12-18
72,22309,2024-08-28,2024-09-27
24,21731,2024-08-28,2025-08-28
36,21821,2024-08-28,2025-08-28
72,22313,2024-08-28,2024-09-27
109,22314,2024-08-28,2024-09-27
29,9206,2024-08-28,2025-02-28
109,22315,2024-08-28,2024-09-27
71,21859,2024-08-28,2025-02-28
106,22317,2024-08-28,2024-09-27
105,22320,2024-08-28,2024-09-27
105,22321,2024-08-28,2024-09-27
100,11803,2024-12-12,2024-12-18
100,15486,2024-12-12,2024-12-18
105,22322,2024-08-28,2024-09-27
105,22323,2024-08-28,2024-09-27
71,21890,2024-08-29,2025-08-29
71,6471,2024-08-29,2025-08-29
71,21907,2024-08-29,2025-03-01
107,22327,2024-08-29,2024-09-28
24,21783,2024-08-29,2025-03-01
102,17601,2024-08-29,2025-03-01
29,18733,2024-08-29,2025-03-01
102,11864,2024-08-29,2025-03-01
105,22328,2024-08-29,2024-09-28
71,22328,2024-08-29,2025-03-01
69,21435,2024-08-29,2025-08-29
24,21867,2024-08-29,2025-08-29
106,22330,2024-08-29,2024-09-28
106,22331,2024-08-29,2024-09-28
106,22333,2024-08-29,2024-09-28
109,22334,2024-08-30,2024-09-29
41,10005,2022-02-22,2022-04-10
71,11879,2024-09-05,2025-03-05
72,22335,2024-08-30,2024-09-29
105,22336,2024-08-30,2024-09-29
41,9982,2022-02-22,2022-04-10
71,15723,2025-02-12,2025-08-12
41,17787,2023-07-20,2023-08-19
71,14994,2025-01-13,2026-01-13
71,620,2025-01-10,2025-07-10
71,8609,2023-05-20,2024-05-20
29,15320,2023-05-21,2023-11-21
51,6208,2023-07-24,2025-07-24
24,10209,2023-05-23,2024-05-23
71,13257,2023-05-23,2025-11-23
71,70,2025-02-26,2026-02-26
71,15827,2023-05-24,2023-11-24
41,17294,2023-05-24,2023-06-23
41,17300,2023-05-25,2023-06-24
71,12608,2023-05-25,2024-05-25
71,5855,2023-05-26,2023-11-26
36,17342,2023-05-28,2023-11-28
24,16164,2023-04-22,2024-04-22
71,14212,2023-07-22,2024-01-22
71,17339,2023-05-29,2023-11-29
41,17354,2023-05-29,2023-06-28
81,10534,2023-05-23,2023-11-23
24,16898,2023-05-29,2024-05-29
71,13639,2023-05-29,2023-11-29
71,4997,2024-06-17,2025-08-17
81,4857,2023-05-30,2023-11-30
25,11117,2023-05-31,2023-12-01
71,17376,2023-05-31,2023-12-01
71,15500,2023-04-07,2023-10-07
71,17147,2023-05-31,2023-12-01
69,18777,2024-10-05,2025-10-05
100,13740,2025-01-29,2025-07-29
71,2677,2023-06-01,2024-06-01
41,17388,2023-06-01,2023-07-01
71,15713,2023-06-02,2023-12-02
71,12159,2024-02-10,2024-08-10
81,17799,2023-07-22,2024-01-22
71,17800,2023-07-22,2024-01-22
71,14879,2023-04-25,2023-11-12
71,17193,2023-05-14,2023-06-14
41,17407,2023-06-03,2023-07-03
29,17398,2024-02-23,2024-08-23
71,8946,2023-06-03,2023-12-03
102,15614,2023-07-22,2024-01-22
71,15905,2023-06-05,2023-12-05
100,11059,2025-03-04,2026-03-04
71,10155,2025-03-04,2026-03-04
106,22898,2024-10-07,2024-11-06
71,4325,2024-08-07,2025-02-07
71,17803,2023-07-22,2024-01-22
41,4131,2022-02-22,2022-04-10
41,17807,2023-07-23,2023-08-22
100,11679,2024-12-12,2024-12-18
71,10448,2025-01-09,2025-07-09
41,17809,2023-07-24,2023-08-23
41,17810,2023-07-24,2023-08-23
72,17425,2023-06-05,2024-03-31
71,17357,2023-09-06,2024-03-06
106,23118,2024-10-21,2024-11-20
71,7246,2024-11-24,2025-11-24
107,23137,2024-10-22,2024-11-21
71,16140,2023-11-05,2024-05-05
71,10334,2023-11-17,2024-05-17
71,4559,2024-12-04,2025-06-04
81,9335,2023-05-19,2024-11-19
105,22291,2024-08-27,2024-09-26
71,6739,2023-11-23,2024-11-23
71,6553,2024-12-30,2025-06-30
71,10137,2025-02-26,2025-08-26
71,15994,2025-02-11,2025-08-11
71,3078,2023-11-23,2024-11-23
41,22304,2024-08-28,2024-09-27
25,16929,2025-02-22,2025-08-22
105,22310,2024-08-28,2024-09-27
71,15821,2023-11-28,2024-05-28
106,23138,2024-10-22,2024-11-21
41,9193,2022-02-22,2022-04-10
71,8663,2024-12-05,2025-06-05
41,4117,2022-02-22,2022-04-10
41,4126,2022-02-22,2022-04-10
41,4118,2022-02-22,2022-04-10
25,10212,2023-12-06,2024-06-06
72,22316,2024-08-28,2024-09-27
41,4964,2022-02-22,2022-04-10
41,5299,2022-02-22,2022-04-10
41,5428,2022-02-22,2022-04-10
41,8897,2022-02-22,2022-04-10
41,4119,2022-02-22,2022-04-10
41,4133,2022-02-22,2022-04-10
41,824,2022-02-22,2022-04-10
41,4165,2022-02-22,2022-04-10
41,4150,2022-02-22,2022-04-10
41,4157,2022-02-22,2022-04-10
41,4176,2022-02-22,2022-04-10
41,4179,2022-02-22,2022-04-10
41,4130,2022-02-22,2022-04-10
41,4171,2022-02-22,2022-04-10
41,9342,2022-02-22,2022-04-10
41,4132,2022-02-22,2022-04-10
41,4181,2022-02-22,2022-04-10
41,269,2022-02-22,2022-04-10
